dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004194,4.731998,0.003704,0.148148,2.962963,59.259259,6.282412
0.050000,0.017026,4.731973,0.016535,0.256632,2.169682,-15.865609,6.280062
0.050000,0.038373,4.731865,0.037882,0.426942,3.406192,24.730188,6.276198
0.050000,0.068177,4.731578,0.067688,0.596106,3.383276,-0.458321,6.270898
0.050000,0.106357,4.730982,0.105873,0.763709,3.352060,-0.624315,6.264270
0.050000,0.152814,4.729920,0.152342,0.929377,3.313372,-0.773770,6.256444
0.050000,0.207427,4.728215,0.206981,1.092788,3.268214,-0.903149,6.247576
0.050000,0.270059,4.725676,0.269665,1.253674,3.217721,-1.009863,6.237838
0.050000,0.340560,4.722105,0.340257,1.411829,3.163097,-1.092482,6.227416
0.050000,0.418769,4.717306,0.418612,1.567106,3.105551,-1.150911,6.216507
0.050000,0.504515,4.711093,0.504583,1.719418,3.046229,-1.186446,6.205314
0.050000,0.597625,4.703292,0.598019,1.868725,2.986141,-1.201760,6.194041
0.050000,0.697924,4.693755,0.698770,2.015030,2.926103,-1.200771,6.182894
0.050000,0.805239,4.682359,0.806689,2.158364,2.866679,-1.188461,6.172076
0.050000,0.919400,4.669015,0.921627,2.298771,2.808149,-1.170602,6.161787
0.050000,1.040245,4.653671,1.043442,2.436295,2.750470,-1.153593,6.152224
0.050000,1.167616,4.636318,1.171990,2.570958,2.693257,-1.144263,6.143582
0.050000,1.301364,4.616993,1.307127,2.702746,2.635763,-1.149871,6.136057
0.050000,1.441346,4.595783,1.448707,2.831589,2.576852,-1.178228,6.129851
0.050000,1.587421,4.572835,1.596573,2.957336,2.514951,-1.238004,6.125176
0.050000,1.739450,4.548358,1.750560,3.079735,2.447986,-1.339311,6.122259
0.050000,1.897287,4.522634,1.910480,3.198398,2.373259,-1.494545,6.121356
0.050000,2.060775,4.496027,2.076118,3.312762,2.287277,-1.719632,6.122762
0.050000,2.229728,4.469001,2.247220,3.422037,2.185488,-2.035785,6.126822
0.050000,2.403925,4.442129,2.423477,3.525131,2.061891,-2.471940,6.133959
0.050000,2.583075,4.416122,2.604504,3.620555,1.908486,-3.068089,6.144697
0.050000,2.766792,4.391852,2.789818,3.706281,1.714507,-3.879589,6.159698
0.050000,2.951161,4.370731,2.975393,3.711484,0.104066,-32.208821,6.179401
0.050000,3.132311,4.354032,3.157311,3.638372,-1.462237,-31.326050,6.204096
0.050000,3.309705,4.342579,3.335074,3.555259,-1.662258,-4.000422,6.234465
0.050000,3.482608,4.337227,3.508060,3.459715,-1.910879,-4.972423,6.271357
0.050000,3.650061,4.338831,3.675521,3.349212,-2.210076,-5.983948,0.032605
0.050000,3.810864,4.348203,3.836597,3.221527,-2.553690,-6.872272,0.085754
0.050000,3.963609,4.366026,3.990378,3.075616,-2.918224,-7.290680,0.148860
0.050000,4.106792,4.392767,4.136036,2.913176,-3.248797,-6.611464,0.223051
0.050000,4.239072,4.428607,4.273086,2.740987,-3.443770,-3.899460,0.308992
0.050000,4.359660,4.473484,4.401754,2.573359,-3.352565,1.824106,0.406370
0.050000,4.468714,4.527345,4.523384,2.432601,-2.815161,10.748082,0.513354
0.050000,4.567448,4.590536,4.640608,2.344474,-1.762538,21.052449,0.626351
0.050000,4.657692,4.664056,4.757009,2.328022,-0.329053,28.669718,0.740470
0.050000,4.741099,4.749324,4.876287,2.385558,1.150726,29.595570,0.850664
0.050000,4.818418,4.847355,5.001139,2.497059,2.230020,21.585873,0.952789
0.050000,4.888488,4.956291,5.130666,2.590521,1.869233,-7.215738,1.043025
0.050000,4.950294,5.072693,5.262458,2.635852,0.906636,-19.251935,1.120061
0.050000,5.004180,5.194285,5.395456,2.659962,0.482203,-8.488654,1.185342
0.050000,5.050647,5.318834,5.528391,2.658690,-0.025452,-10.153104,1.240601
0.050000,5.090329,5.444366,5.660046,2.633102,-0.511756,-9.726079,1.287494
0.050000,5.123932,5.569242,5.789363,2.586347,-0.935106,-8.467012,1.327466
0.050000,5.152171,5.692139,5.915463,2.522002,-1.286896,-7.035795,1.361717
0.050000,5.175729,5.812015,6.037632,2.443367,-1.572698,-5.716045,1.391223
0.050000,5.195239,5.928048,6.155293,2.353235,-1.802645,-4.598932,1.416767
0.050000,5.211272,6.039595,6.267987,2.253876,-1.987183,-3.690763,1.438980
0.050000,5.224336,6.146152,6.375342,2.147101,-2.135499,-2.966310,1.458368
0.050000,5.234879,6.247322,6.477059,2.034344,-2.255136,-2.392743,1.475339
0.050000,5.243295,6.342788,6.572896,1.916739,-2.352092,-1.939132,1.490224
0.050000,5.249928,6.432302,6.662656,1.795186,-2.431058,-1.579309,1.503293
0.050000,5.255080,6.515663,6.746176,1.670402,-2.495679,-1.292421,1.514766
0.050000,5.259009,6.592711,6.823324,1.542963,-2.548781,-1.062044,1.524825
0.050000,5.261944,6.663317,6.893991,1.413335,-2.592561,-0.875599,1.533619
0.050000,5.264080,6.727376,6.958086,1.281899,-2.628727,-0.723322,1.541271
0.050000,5.265585,6.784805,7.015534,1.148968,-2.658614,-0.597743,1.547884
0.050000,5.266603,6.835535,7.066274,1.014805,-2.683265,-0.493024,1.553542
0.050000,5.267256,6.879512,7.110256,0.879630,-2.703499,-0.404681,1.558314
0.050000,5.267647,6.916691,7.147437,0.743632,-2.719957,-0.329146,1.562256
0.050000,5.267858,6.947039,7.177786,0.606975,-2.733136,-0.263584,1.565413
0.050000,5.267956,6.970529,7.201276,0.469804,-2.743422,-0.205711,1.567820
0.050000,5.267992,6.987142,7.217889,0.332249,-2.751105,-0.153662,1.569504
0.050000,5.268000,6.996863,7.227610,0.194429,-2.756397,-0.105845,1.570482
0.050000,5.268000,7.000000,7.230747,0.062733,-2.633916,2.449610,1.570796
0.050000,5.268000,7.000000,7.230747,0.000000,-1.254669,27.584952,1.570796
