dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003063,3.267999,0.003704,0.148148,2.962963,59.259259,6.282412
0.050000,0.012454,3.267981,0.013094,0.187812,0.793278,-43.393691,6.280062
0.050000,0.028143,3.267901,0.028784,0.313798,2.519727,34.528969,6.276198
0.050000,0.050189,3.267688,0.050831,0.440930,2.542635,0.458163,6.270898
0.050000,0.078666,3.267243,0.079312,0.569622,2.573841,0.624125,6.264270
0.050000,0.113670,3.266443,0.114324,0.700248,2.612520,0.773575,6.256444
0.050000,0.155306,3.265143,0.155981,0.833132,2.657669,0.902975,6.247576
0.050000,0.203693,3.263181,0.204408,0.968539,2.708155,1.009734,6.237838
0.050000,0.258956,3.260381,0.259742,1.106678,2.762777,1.092425,6.227416
0.050000,0.321224,3.256560,0.322126,1.247694,2.820323,1.150935,6.216507
0.050000,0.390626,3.251529,0.391710,1.391677,2.879651,1.186555,6.205314
0.050000,0.467290,3.245105,0.468644,1.538664,2.939749,1.201952,6.194041
0.050000,0.551344,3.237111,0.553076,1.688654,2.999801,1.201041,6.182894
0.050000,0.642909,3.227386,0.645157,1.841616,3.059240,1.188779,6.172076
0.050000,0.742109,3.215789,0.745032,1.997506,3.117788,1.170958,6.161787
0.050000,0.849064,3.202208,0.852846,2.156280,3.175485,1.153951,6.152224
0.050000,0.963899,3.186561,0.968742,2.317916,3.232715,1.144597,6.143582
0.050000,1.086744,3.168810,1.092864,2.482427,3.290223,1.150150,6.136057
0.050000,1.217743,3.148960,1.225358,2.649884,3.349143,1.178409,6.129851
0.050000,1.357056,3.127073,1.366380,2.820436,3.411045,1.238043,6.125176
0.050000,1.504869,3.103274,1.516096,2.994337,3.478002,1.339142,6.122259
0.050000,1.661403,3.077762,1.674695,3.171972,3.552706,1.494075,6.121356
0.050000,1.826920,3.050825,1.842390,3.353904,3.638642,1.718724,6.122762
0.050000,2.001744,3.022861,2.019436,3.540922,3.740353,2.034224,6.126822
0.050000,2.186267,2.994399,2.206142,3.734113,3.863823,2.469385,6.133959
0.050000,2.380975,2.966139,2.402890,3.934964,4.017022,3.063984,6.144697
0.050000,2.586466,2.939000,2.610165,4.145497,4.210673,3.873021,6.159698
0.050000,2.799494,2.914609,2.824584,4.288387,2.857782,-27.057818,6.179401
0.050000,3.016646,2.894609,3.042655,4.361425,1.460760,-27.940438,6.204096
0.050000,3.238407,2.880317,3.264877,4.444433,1.660176,3.988321,6.234465
0.050000,3.465291,2.873329,3.491869,4.539831,1.907956,4.955599,6.271357
0.050000,3.697787,2.875609,3.724375,4.650131,2.205989,5.960660,0.032605
0.050000,3.936254,2.889582,3.963252,4.777532,2.548023,6.840677,0.085754
0.050000,4.180736,2.918217,4.209405,4.923057,2.910507,7.249690,0.148860
0.050000,4.430638,2.965035,4.463654,5.084990,3.238648,6.562809,0.223051
0.050000,4.684272,3.033941,4.726482,5.256550,3.431214,3.851330,0.308992
0.050000,4.938347,3.128710,4.997656,5.423478,3.338558,-1.853123,0.406370
0.050000,5.187687,3.252052,5.275835,5.563580,2.802034,-10.730486,0.513354
0.050000,5.425633,3.404444,5.558398,5.651264,1.753683,-20.967018,0.626351
0.050000,5.645358,3.583402,5.841779,5.667631,0.327348,-28.526710,0.740470
0.050000,5.841614,3.783839,6.122299,5.610390,-1.144824,-29.443436,0.850664
0.050000,6.011629,3.999095,6.396599,5.485995,-2.487898,-26.861467,0.952789
0.050000,6.153284,4.219007,6.658185,5.231730,-5.085302,-51.948093,1.043025
0.050000,6.268080,4.434934,6.902730,4.890896,-6.816684,-34.627642,1.120061
0.050000,6.360764,4.643851,7.131283,4.571067,-6.396579,8.402101,1.185342
0.050000,6.435560,4.844164,7.345106,4.276445,-5.892439,10.082800,1.240601
0.050000,6.495971,5.035137,7.545406,4.006011,-5.408690,9.674992,1.287494
0.050000,6.544804,5.216511,7.733239,3.756656,-4.987100,8.431785,1.327466
0.050000,6.584288,5.388273,7.909480,3.524831,-4.636496,7.012089,1.361717
0.050000,6.616188,5.550530,8.074843,3.307256,-4.351489,5.700144,1.391223
0.050000,6.641907,5.703439,8.229901,3.101153,-4.122075,4.588274,1.416767
0.050000,6.662572,5.847174,8.375114,2.904258,-3.937898,3.683543,1.438980
0.050000,6.679093,5.981904,8.510852,2.714766,-3.789830,2.961365,1.458368
0.050000,6.692214,6.107784,8.637414,2.531248,-3.670363,2.389341,1.475339
0.050000,6.702545,6.224958,8.755043,2.352572,-3.573527,1.936720,1.490224
0.050000,6.710594,6.333552,8.863935,2.177839,-3.494645,1.577635,1.503293
0.050000,6.716782,6.433678,8.964252,2.006335,-3.430085,1.291187,1.514766
0.050000,6.721463,6.525433,9.056126,1.837484,-3.377026,1.061181,1.524825
0.050000,6.724932,6.608902,9.139667,1.670820,-3.333279,0.874955,1.533619
0.050000,6.727442,6.684158,9.214965,1.505963,-3.297136,0.722857,1.541271
0.050000,6.729200,6.751265,9.282095,1.342600,-3.267267,0.597378,1.547884
0.050000,6.730385,6.810276,9.341119,1.180468,-3.242628,0.492774,1.553542
0.050000,6.731142,6.861238,9.392086,1.019348,-3.222404,0.404490,1.558314
0.050000,6.731594,6.904188,9.435038,0.859051,-3.205954,0.328996,1.562256
0.050000,6.731837,6.939158,9.470009,0.699412,-3.192780,0.263473,1.565413
0.050000,6.731950,6.966172,9.497023,0.540287,-3.182498,0.205641,1.567820
0.050000,6.731990,6.985249,9.516101,0.381546,-3.174818,0.153606,1.569504
0.050000,6.731999,6.996403,9.527254,0.223069,-3.169528,0.105797,1.570482
0.050000,6.732000,7.000000,9.530851,0.071942,-3.022550,2.939558,1.570796
0.050000,6.732000,7.000000,9.530851,0.000000,-1.438836,31.674280,1.570796
