dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.735623,11.302488,0.000009,0.003740,0.747909,149.581789,6.283175
0.005000,0.735623,11.302488,0.000009,0.000017,-0.744469,-298.475522,6.283175
0.005000,0.735622,11.302488,0.000010,0.000039,0.004301,149.753868,6.283175
0.005000,0.735622,11.302488,0.000010,0.000069,0.006022,0.344237,6.283175
0.005000,0.735622,11.302488,0.000010,0.000103,0.006884,0.172446,6.283176
0.005000,0.735621,11.302488,0.000011,0.000138,0.006887,0.000644,6.283176
0.005000,0.735620,11.302488,0.000012,0.000172,0.006892,0.000858,6.283177
0.005000,0.735619,11.302488,0.000013,0.000207,0.006897,0.001073,6.283178
0.005000,0.735618,11.302488,0.000014,0.000241,0.006903,0.001287,6.283179
0.005000,0.735616,11.302488,0.000016,0.000276,0.006911,0.001502,6.283180
0.005000,0.735615,11.302488,0.000017,0.000310,0.006919,0.001716,6.283181
0.005000,0.735613,11.302488,0.000019,0.000345,0.006929,0.001931,6.283183
0.005000,0.735611,11.302488,0.000021,0.000380,0.006940,0.002145,6.283184
0.005000,0.735884,11.302488,0.000293,0.054483,10.820742,2162.760343,0.000001
0.005000,0.736854,11.302488,0.001263,0.194007,27.904758,3416.803288,0.000002
0.005000,0.737898,11.302488,0.002308,0.208930,2.984657,-4984.020300,0.000004
0.005000,0.739018,11.302488,0.003427,0.223854,2.984641,-0.003045,0.000006
0.005000,0.740212,11.302488,0.004621,0.238777,2.984625,-0.003262,0.000009
0.005000,0.741480,11.302488,0.005890,0.253700,2.984609,-0.003214,0.000011
0.005000,0.742823,11.302488,0.007233,0.268623,2.984594,-0.002897,0.000013
0.005000,0.744241,11.302488,0.008650,0.283546,2.984570,-0.004906,0.000016
0.005000,0.745733,11.302488,0.010143,0.298468,2.984549,-0.004132,0.000019
0.005000,0.747300,11.302488,0.011710,0.313391,2.984530,-0.003867,0.000022
0.005000,0.748942,11.302488,0.013351,0.328314,2.984510,-0.003901,0.000025
0.005000,0.750658,11.302488,0.015067,0.343236,2.984481,-0.005859,0.000028
0.005000,0.752449,11.302488,0.016858,0.358158,2.984456,-0.004970,0.000031
0.005000,0.754314,11.302488,0.018724,0.373080,2.984439,-0.003425,0.000035
0.005000,0.756254,11.302488,0.020664,0.388002,2.984403,-0.007191,0.000038
0.005000,0.758269,11.302488,0.022678,0.402924,2.984376,-0.005405,0.000042
0.005000,0.760358,11.302488,0.024768,0.417846,2.984355,-0.004284,0.000046
0.005000,0.762522,11.302488,0.026931,0.432768,2.984315,-0.007855,0.000050
0.005000,0.764760,11.302488,0.029170,0.447689,2.984290,-0.005166,0.000055
0.005000,0.767073,11.302489,0.031483,0.462610,2.984257,-0.006492,0.000059
0.005000,0.769461,11.302489,0.033871,0.477532,2.984219,-0.007606,0.000063
0.005000,0.771923,11.302489,0.036333,0.492452,2.984194,-0.004965,0.000068
0.005000,0.774460,11.302489,0.038870,0.507373,2.984148,-0.009341,0.000073
0.005000,0.777072,11.302489,0.041481,0.522294,2.984122,-0.005132,0.000078
0.005000,0.779758,11.302489,0.044167,0.537214,2.984075,-0.009437,0.000083
0.005000,0.782518,11.302490,0.046928,0.552134,2.984044,-0.006085,0.000088
0.005000,0.785354,11.302490,0.049763,0.567054,2.983997,-0.009413,0.000094
0.005000,0.788263,11.302490,0.052673,0.581974,2.983964,-0.006679,0.000099
0.005000,0.791248,11.302490,0.055657,0.596894,2.983914,-0.009992,0.000105
0.005000,0.794307,11.302491,0.058717,0.611813,2.983881,-0.006667,0.000111
0.005000,0.797441,11.302491,0.061850,0.626732,2.983826,-0.010967,0.000117
0.005000,0.800649,11.302492,0.065058,0.641651,2.983792,-0.006682,0.000123
0.005000,0.803932,11.302492,0.068341,0.656570,2.983736,-0.011219,0.000129
0.005000,0.807289,11.302492,0.071699,0.671488,2.983694,-0.008387,0.000136
0.005000,0.810721,11.302493,0.075131,0.686407,2.983646,-0.009685,0.000143
0.005000,0.814228,11.302493,0.078637,0.701325,2.983591,-0.010908,0.000150
0.005000,0.817809,11.302494,0.082219,0.716242,2.983551,-0.008115,0.000157
0.005000,0.821465,11.302495,0.085874,0.731160,2.983491,-0.011976,0.000164
0.005000,0.825195,11.302495,0.089605,0.746077,2.983438,-0.010585,0.000171
0.005000,0.829000,11.302496,0.093410,0.760994,2.983394,-0.008884,0.000179
0.005000,0.832880,11.302497,0.097289,0.775911,2.983330,-0.012754,0.000186
0.005000,0.836834,11.302497,0.101243,0.790827,2.983274,-0.011088,0.000194
0.005000,0.840863,11.302498,0.105272,0.805743,2.983224,-0.010072,0.000202
0.005000,0.844966,11.302499,0.109375,0.820659,2.983162,-0.012417,0.000210
0.005000,0.849144,11.302500,0.113553,0.835574,2.983101,-0.012145,0.000218
0.005000,0.853396,11.302501,0.117806,0.850490,2.983041,-0.011956,0.000227
0.005000,0.857723,11.302502,0.122133,0.865405,2.982986,-0.010991,0.000236
0.005000,0.862125,11.302503,0.126534,0.880319,2.982919,-0.013489,0.000245
0.005000,0.866601,11.302504,0.131011,0.895233,2.982855,-0.012764,0.000254
0.005000,0.871152,11.302505,0.135561,0.910147,2.982791,-0.012826,0.000263
0.005000,0.875777,11.302506,0.140187,0.925061,2.982726,-0.013043,0.000272
0.005000,0.880477,11.302508,0.144886,0.939974,2.982664,-0.012436,0.000282
0.005000,0.885251,11.302509,0.149661,0.954887,2.982592,-0.014244,0.000291
0.005000,0.890100,11.302510,0.154510,0.969800,2.982523,-0.013828,0.000301
0.005000,0.895024,11.302512,0.159433,0.984712,2.982454,-0.013913,0.000311
0.005000,0.900022,11.302514,0.164432,0.999624,2.982383,-0.014130,0.000322
0.005000,0.905095,11.302515,0.169504,1.014536,2.982311,-0.014348,0.000332
0.005000,0.910242,11.302517,0.174652,1.029447,2.982238,-0.014565,0.000343
0.005000,0.915464,11.302519,0.179873,1.044358,2.982165,-0.014783,0.000354
0.005000,0.920760,11.302521,0.185170,1.059268,2.982090,-0.015000,0.000365
0.005000,0.926131,11.302523,0.190541,1.074178,2.982013,-0.015218,0.000376
0.005000,0.931576,11.302525,0.195986,1.089088,2.981937,-0.015345,0.000388
0.005000,0.937096,11.302527,0.201506,1.103997,2.981858,-0.015747,0.000399
0.005000,0.942691,11.302529,0.207101,1.118906,2.981778,-0.015949,0.000411
0.005000,0.948360,11.302532,0.212770,1.133815,2.981698,-0.016090,0.000423
0.005000,0.954104,11.302534,0.218513,1.148723,2.981617,-0.016262,0.000435
0.005000,0.959922,11.302537,0.224331,1.163630,2.981535,-0.016377,0.000448
0.005000,0.965814,11.302539,0.230224,1.178538,2.981450,-0.016853,0.000460
0.005000,0.971782,11.302542,0.236191,1.193444,2.981366,-0.016960,0.000473
0.005000,0.977823,11.302545,0.242233,1.208351,2.981280,-0.017178,0.000486
0.005000,0.983940,11.302548,0.248349,1.223257,2.981193,-0.017396,0.000499
0.005000,0.990131,11.302551,0.254540,1.238162,2.981105,-0.017615,0.000513
0.005000,0.996396,11.302554,0.260805,1.253067,2.981015,-0.017833,0.000527
0.005000,1.002736,11.302558,0.267145,1.267972,2.980925,-0.018051,0.000540
0.005000,1.009150,11.302561,0.273560,1.282876,2.980834,-0.018269,0.000555
0.005000,1.015639,11.302565,0.280049,1.297780,2.980741,-0.018487,0.000569
0.005000,1.022202,11.302569,0.286612,1.312683,2.980653,-0.017647,0.000583
0.005000,1.028840,11.302573,0.293250,1.327586,2.980554,-0.019867,0.000598
0.005000,1.035553,11.302577,0.299962,1.342488,2.980458,-0.019168,0.000613
0.005000,1.042340,11.302581,0.306749,1.357390,2.980361,-0.019360,0.000628
0.005000,1.049201,11.302585,0.313611,1.372291,2.980263,-0.019578,0.000644
0.005000,1.056137,11.302590,0.320547,1.387192,2.980172,-0.018340,0.000660
0.005000,1.063148,11.302594,0.327557,1.402092,2.980065,-0.021313,0.000675
0.005000,1.070233,11.302599,0.334642,1.416992,2.979964,-0.020300,0.000692
0.005000,1.077392,11.302604,0.341802,1.431892,2.979862,-0.020297,0.000708
0.005000,1.084626,11.302609,0.349036,1.446790,2.979767,-0.019099,0.000725
0.005000,1.091934,11.302615,0.356344,1.461689,2.979654,-0.022523,0.000741
0.005000,1.099317,11.302620,0.363727,1.476586,2.979548,-0.021107,0.000759
0.005000,1.106775,11.302626,0.371184,1.491484,2.979451,-0.019559,0.000776
0.005000,1.114307,11.302632,0.378716,1.506380,2.979336,-0.022828,0.000793
0.005000,1.121913,11.302638,0.386323,1.521277,2.979226,-0.022152,0.000811
0.005000,1.129594,11.302644,0.394004,1.536172,2.979127,-0.019706,0.000829
0.005000,1.137349,11.302651,0.401759,1.551067,2.979006,-0.024222,0.000848
0.005000,1.145179,11.302658,0.409589,1.565962,2.978898,-0.021713,0.000866
0.005000,1.153083,11.302665,0.417493,1.580856,2.978789,-0.021650,0.000885
0.005000,1.161062,11.302672,0.425472,1.595749,2.978666,-0.024613,0.000904
0.005000,1.169115,11.302679,0.433525,1.610642,2.978564,-0.020378,0.000924
0.005000,1.177243,11.302687,0.441653,1.625534,2.978436,-0.025685,0.000943
0.005000,1.185445,11.302694,0.449855,1.640426,2.978328,-0.021565,0.000963
0.005000,1.193722,11.302702,0.458131,1.655317,2.978204,-0.024851,0.000983
0.005000,1.202073,11.302711,0.466482,1.670207,2.978089,-0.022923,0.001004
0.005000,1.210498,11.302719,0.474908,1.685097,2.977966,-0.024717,0.001024
0.005000,1.218998,11.302728,0.483408,1.699986,2.977848,-0.023575,0.001045
0.005000,1.227572,11.302737,0.491982,1.714875,2.977721,-0.025294,0.001067
0.005000,1.236221,11.302746,0.500631,1.729763,2.977604,-0.023511,0.001088
0.005000,1.244944,11.302756,0.509354,1.744650,2.977471,-0.026593,0.001110
0.005000,1.253742,11.302766,0.518152,1.759537,2.977357,-0.022721,0.001132
0.005000,1.262614,11.302776,0.527024,1.774423,2.977218,-0.027879,0.001155
0.005000,1.271561,11.302787,0.535970,1.789308,2.977101,-0.023429,0.001177
0.005000,1.280582,11.302797,0.544991,1.804193,2.976966,-0.026975,0.001200
0.005000,1.289677,11.302808,0.554087,1.819077,2.976835,-0.026225,0.001224
0.005000,1.298847,11.302820,0.563257,1.833961,2.976713,-0.024355,0.001247
0.005000,1.308091,11.302831,0.572501,1.848844,2.976570,-0.028485,0.001271
0.005000,1.317410,11.302843,0.581820,1.863726,2.976441,-0.025817,0.001295
0.005000,1.326803,11.302855,0.591213,1.878608,2.976312,-0.025897,0.001320
0.005000,1.336270,11.302868,0.600680,1.893489,2.976169,-0.028566,0.001344
0.005000,1.345812,11.302881,0.610222,1.908369,2.976034,-0.026985,0.001370
0.005000,1.355428,11.302894,0.619838,1.923248,2.975905,-0.025785,0.001395
0.005000,1.365119,11.302908,0.629529,1.938127,2.975758,-0.029471,0.001421
0.005000,1.374884,11.302922,0.639294,1.953005,2.975619,-0.027822,0.001447
0.005000,1.384723,11.302936,0.649133,1.967883,2.975481,-0.027522,0.001473
0.005000,1.394637,11.302951,0.659047,1.982759,2.975343,-0.027682,0.001500
0.005000,1.404625,11.302966,0.669035,1.997635,2.975194,-0.029654,0.001527
0.005000,1.414688,11.302982,0.679098,2.012510,2.975051,-0.028693,0.001554
0.005000,1.424825,11.302998,0.689235,2.027385,2.974906,-0.028911,0.001582
0.005000,1.435036,11.303014,0.699446,2.042259,2.974764,-0.028539,0.001610
0.005000,1.445322,11.303031,0.709732,2.057132,2.974617,-0.029374,0.001638
0.005000,1.455682,11.303048,0.720092,2.072004,2.974466,-0.030219,0.001667
0.005000,1.466116,11.303065,0.730526,2.086876,2.974317,-0.029784,0.001696
0.005000,1.476625,11.303083,0.741035,2.101747,2.974167,-0.030002,0.001726
0.005000,1.487208,11.303102,0.751618,2.116617,2.974016,-0.030220,0.001756
0.005000,1.497865,11.303121,0.762275,2.131486,2.973863,-0.030438,0.001786
0.005000,1.508597,11.303140,0.773007,2.146355,2.973710,-0.030657,0.001816
0.005000,1.519403,11.303160,0.783813,2.161222,2.973556,-0.030835,0.001847
0.005000,1.530284,11.303180,0.794694,2.176089,2.973402,-0.030774,0.001878
0.005000,1.541238,11.303201,0.805648,2.190956,2.973243,-0.031767,0.001910
0.005000,1.552267,11.303222,0.816677,2.205821,2.973086,-0.031531,0.001942
