dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.735597,8.802488,0.000009,0.003740,0.747909,149.581789,6.283175
0.005000,0.735597,8.802488,0.000009,0.000017,-0.744469,-298.475522,6.283175
0.005000,0.735597,8.802488,0.000010,0.000039,0.004301,149.753868,6.283175
0.005000,0.735598,8.802488,0.000010,0.000069,0.006022,0.344237,6.283175
0.005000,0.735598,8.802488,0.000010,0.000103,0.006884,0.172446,6.283176
0.005000,0.735599,8.802488,0.000011,0.000138,0.006887,0.000644,6.283176
0.005000,0.735600,8.802488,0.000012,0.000172,0.006892,0.000858,6.283177
0.005000,0.735601,8.802488,0.000013,0.000207,0.006897,0.001073,6.283178
0.005000,0.735602,8.802488,0.000014,0.000241,0.006903,0.001287,6.283179
0.005000,0.735603,8.802488,0.000016,0.000276,0.006911,0.001502,6.283180
0.005000,0.735605,8.802488,0.000017,0.000310,0.006919,0.001716,6.283181
0.005000,0.735606,8.802488,0.000019,0.000345,0.006929,0.001931,6.283183
0.005000,0.735608,8.802488,0.000021,0.000380,0.006940,0.002145,6.283184
0.005000,0.735885,8.802488,0.000297,0.055312,10.986496,2195.911217,0.000001
0.005000,0.736859,8.802488,0.001272,0.194906,27.918687,3386.438226,0.000002
0.005000,0.737909,8.802488,0.002321,0.209899,2.998613,-4984.014725,0.000004
0.005000,0.739033,8.802488,0.003446,0.224892,2.998628,0.002962,0.000006
0.005000,0.740233,8.802488,0.004645,0.239885,2.998644,0.003173,0.000009
0.005000,0.741507,8.802488,0.005920,0.254878,2.998662,0.003651,0.000011
0.005000,0.742857,8.802488,0.007269,0.269872,2.998684,0.004400,0.000013
0.005000,0.744281,8.802488,0.008693,0.284865,2.998698,0.002812,0.000016
0.005000,0.745780,8.802488,0.010193,0.299859,2.998719,0.004019,0.000019
0.005000,0.747354,8.802488,0.011767,0.314853,2.998742,0.004715,0.000022
0.005000,0.749004,8.802488,0.013416,0.329846,2.998768,0.005111,0.000025
0.005000,0.750728,8.802488,0.015140,0.344840,2.998786,0.003574,0.000028
0.005000,0.752527,8.802488,0.016940,0.359834,2.998810,0.004897,0.000031
0.005000,0.754401,8.802488,0.018814,0.374829,2.998844,0.006880,0.000035
0.005000,0.756350,8.802488,0.020763,0.389823,2.998862,0.003526,0.000038
0.005000,0.758374,8.802488,0.022787,0.404817,2.998891,0.005750,0.000042
0.005000,0.760473,8.802488,0.024886,0.419812,2.998927,0.007306,0.000046
0.005000,0.762648,8.802488,0.027060,0.434807,2.998948,0.004149,0.000050
0.005000,0.764897,8.802488,0.029309,0.449802,2.998984,0.007281,0.000055
0.005000,0.767221,8.802489,0.031633,0.464797,2.999016,0.006379,0.000059
0.005000,0.769619,8.802489,0.034032,0.479792,2.999045,0.005689,0.000063
0.005000,0.772093,8.802489,0.036506,0.494787,2.999089,0.008773,0.000068
0.005000,0.774642,8.802489,0.039055,0.509783,2.999113,0.004806,0.000073
0.005000,0.777266,8.802489,0.041679,0.524779,2.999160,0.009466,0.000078
0.005000,0.779965,8.802489,0.044378,0.539775,2.999188,0.005569,0.000083
0.005000,0.782739,8.802490,0.047151,0.554771,2.999235,0.009367,0.000088
0.005000,0.785588,8.802490,0.050000,0.569767,2.999267,0.006454,0.000094
0.005000,0.788512,8.802490,0.052924,0.584764,2.999315,0.009631,0.000099
0.005000,0.791510,8.802490,0.055923,0.599760,2.999349,0.006732,0.000105
0.005000,0.794584,8.802491,0.058997,0.614757,2.999401,0.010504,0.000111
0.005000,0.797733,8.802491,0.062145,0.629755,2.999434,0.006613,0.000117
0.005000,0.800957,8.802492,0.065369,0.644752,2.999491,0.011349,0.000123
0.005000,0.804255,8.802492,0.068668,0.659750,2.999527,0.007220,0.000129
0.005000,0.807629,8.802492,0.072042,0.674748,2.999580,0.010495,0.000136
0.005000,0.811078,8.802493,0.075490,0.689746,2.999628,0.009621,0.000143
0.005000,0.814602,8.802493,0.079014,0.704744,2.999672,0.008823,0.000150
0.005000,0.818200,8.802494,0.082613,0.719743,2.999732,0.012060,0.000157
0.005000,0.821874,8.802495,0.086287,0.734742,2.999775,0.008609,0.000164
0.005000,0.825623,8.802495,0.090035,0.749741,2.999827,0.010437,0.000171
0.005000,0.829446,8.802496,0.093859,0.764740,2.999890,0.012577,0.000179
0.005000,0.833345,8.802497,0.097758,0.779740,2.999936,0.009118,0.000186
0.005000,0.837319,8.802497,0.101731,0.794740,2.999992,0.011223,0.000194
0.005000,0.841368,8.802498,0.105780,0.809740,3.000055,0.012673,0.000202
0.005000,0.845491,8.802499,0.109904,0.824741,3.000109,0.010746,0.000210
0.005000,0.849690,8.802500,0.114102,0.839742,3.000166,0.011450,0.000218
0.005000,0.853964,8.802501,0.118376,0.854743,3.000227,0.012070,0.000227
0.005000,0.858312,8.802502,0.122725,0.869744,3.000294,0.013471,0.000236
0.005000,0.862736,8.802503,0.127149,0.884746,3.000351,0.011390,0.000245
0.005000,0.867235,8.802504,0.131647,0.899748,3.000414,0.012549,0.000254
0.005000,0.871809,8.802505,0.136221,0.914750,3.000478,0.012917,0.000263
0.005000,0.876457,8.802506,0.140870,0.929753,3.000544,0.013129,0.000272
0.005000,0.881181,8.802508,0.145594,0.944756,3.000615,0.014169,0.000282
0.005000,0.885980,8.802509,0.150392,0.959760,3.000679,0.012782,0.000291
0.005000,0.890854,8.802511,0.155266,0.974763,3.000747,0.013631,0.000301
